Project Name,Directorate,Project  Estimated Completion Date,Project Classification,Category (Construction/Design/Early Planning/ICT/Plant & Equipment ),Project Type,Government Priority,Region ,2017-18 Budgeted Financing ($'000),2018-19 Budgeted Financing ($'000),2019-20 Budgeted Financing ($'000),2020-21 Budgeted Financing ($'000),Total Budgeted Financing ($'000),2016-17 Re-profiling ($'000) ,2017-18 Re-profiling ($'000) ,2018-19 Re-profiling ($'000) ,2019-20 Re-profiling ($'000) ,2020-21 Re-profiling ($'000) ,2015-16Section 16(b) Rollovers of unspent funds ($'000),2016-17 Variations ($'000),2016-17 Savings returned to Budget ($'000) ,Total Financing 2016-17 ($'000),Budget
More and better jobs – Ensuring continuity of the Spatial Data Management System ,Environment Planning and Sustainable Development Directorate,30 June 2019,New Works,ICT,Economic Growth,More and better jobs,Whole of Canberra,869,232,0,0,1101,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Urban Renewal Program – Better Public Housing,"Chief Minister, Treasury and Economic Development Directorate",30 June 2017,Works-in-progress,Construction,Public Housing,Better support when it matters,Canberra Central,0,0,0,0,0,0,0,0,0,0,-167,0,0,366,ACT Budget 2017-18
Prior Year Better Infrastructure Fund,Environment Planning and Sustainable Development Directorate,30 June 2018,Works-in-progress,BIF ,Environmental Measures,Better services in your community,Whole of Canberra,216,0,0,0,216,-99,99,0,0,0,80,0,0,721,ACT Budget 2017-18
Urban Renewal Program – Better Public Housing – Allawah Court,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Construction,Public Housing,Better support when it matters,Canberra Central,0,0,0,0,0,-11300,11300,0,0,0,12466,0,0,18084,ACT Budget 2017-18
Red Hill Nature Reserve Remediation (Finalisation and Design),Environment Planning and Sustainable Development Directorate,30 June 2017,Works-in-progress,Design,Environmental Measures,Better services in your community,Canberra Central,111,0,0,0,111,-111,111,0,0,0,-3,0,0,14,ACT Budget 2017-18
Urban Renewal Program – Better Public Housing – Karuah,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Construction,Public Housing,Better support when it matters,Canberra Central,0,0,0,0,0,-5000,5000,0,0,0,5558,0,0,6975,ACT Budget 2017-18
Urban Renewal Program – Erindale Group Centre – Gartside Street (south) – Stage 1,Transport Canberra and City Services Directorate,31 July 2017,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Tuggeranong,250,0,0,0,250,-250,250,0,0,0,-1,0,0,529,ACT Budget 2017-18
Urban Renewal Program – Kambah Group Centre – Public domain improvements – Stage 1,Transport Canberra and City Services Directorate,30 September 2016,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Tuggeranong,0,0,0,0,0,0,0,0,0,0,13,0,0,13,ACT Budget 2017-18
Urban Renewal Program – Kingston Group Centre – Pedestrian and cycling accessibility improvements – Stage 1 ,Transport Canberra and City Services Directorate,30 October 2016,Works-in-progress,Design,Public Transport and Active Travel,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,54,0,0,10,ACT Budget 2017-18
Urban Renewal Program – Better Public Housing – Owen Flats,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Construction,Public Housing,Better support when it matters,Canberra Central,0,0,0,0,0,0,0,0,0,0,2421,0,0,3377,ACT Budget 2017-18
Urban Renewal Program – Better Public Housing – Red Hill housing precinct,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Construction,Public Housing,Better support when it matters,Canberra Central,0,0,0,0,0,-2300,2300,0,0,0,20256,0,-15000,13101,ACT Budget 2017-18
Urban Renewal Program – Molonglo to the city highway ,Transport Canberra and City Services Directorate,31 August 2016,Works-in-progress,Design,Public Transport and Active Travel,Building a better city,Woden,0,0,0,0,0,0,0,0,0,0,75,0,0,75,ACT Budget 2017-18
Urban Renewal Program – Oaks Estate river corridor heritage walk improvements – Stage 1,Transport Canberra and City Services Directorate,31 March 2017,Works-in-progress,Construction,Urban Infrastructure,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,38,0,0,210,ACT Budget 2017-18
Urban Renewal Program – Phillip Oval upgrade,Transport Canberra and City Services Directorate,30 June 2018,Works-in-progress,Construction,Urban Infrastructure,Better services in your community,Woden,4100,0,0,0,4100,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Urban Renewal Program – City to the Lake – West Basin infrastructure,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Canberra Central,0,0,0,0,0,-4000,4000,0,0,0,593,350,0,5358,ACT Budget 2017-18
Urban Renewal Program – Phillip trade service area parking management,Transport Canberra and City Services Directorate,30 January 2018,Works-in-progress,Construction,Urban Infrastructure,Better services in your community,Woden,150,0,0,0,150,-150,150,0,0,0,351,0,0,199,ACT Budget 2017-18
Urban Renewal Program – Playground Repairs,Transport Canberra and City Services Directorate,30 September 2016,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,52,0,0,70,ACT Budget 2017-18
Urban Renewal Program – Tuggeranong – Anketell Street (north) upgrade – Stage 1,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Tuggeranong,0,0,0,0,0,0,0,0,0,0,12,0,0,402,ACT Budget 2017-18
Urban Renewal Program – Tuggeranong Valley and Kaleen age friendly facilities,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,Construction,Urban Infrastructure,Better support when it matters,Tuggeranong,0,0,0,0,0,0,0,0,0,0,55,0,0,430,ACT Budget 2017-18
Urban Renewal Program – Weston Group Centre – Brierly Street and Trenerry Square upgrades,Transport Canberra and City Services Directorate,30 September 2017,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Woden,300,0,0,0,300,-300,300,0,0,0,34,0,0,508,ACT Budget 2017-18
Urban Renewal Program – Woden – Canberra Hospital connections,Transport Canberra and City Services Directorate,30 July 2016,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Woden,0,0,0,0,0,0,0,0,0,0,193,0,0,93,ACT Budget 2017-18
Urban Renewal Program – Woden Town Centre cycle and pedestrian network improvements ,Transport Canberra and City Services Directorate,30 August 2016,Works-in-progress,Design,Urban Infrastructure,Building a better city,Woden,0,0,0,0,0,0,0,0,0,0,92,0,0,75,ACT Budget 2017-18
Strengthening Emergency Services Agency's response capability – Improving TRN and CAD Replacement program,Justice and Community Safety Directorate,30 June 2017,Works-in-progress,ICT,Community Services,Better support when it matters,Canberra Central,0,0,0,0,0,0,0,0,0,0,831,0,0,3790,ACT Budget 2017-18
Better schools for our kids – Belconnen High School modernisation,Education Directorate,28 February 2019,New Works,Construction,Education,Better schools for our kids,Belconnen,1628,4272,0,0,5900,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Building a better city – Upgrading lighting at Canberra Museum and Gallery ,Cultural Facilities Corporation,30 June 2018,New Works,Construction,Urban Infrastructure,Building a better city,Canberra Central,330,0,0,0,330,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Securing Electricity Supply in the ACT – Second supply network,Environment Planning and Sustainable Development Directorate,30 June 2018,Works-in-progress,Early Planning,Urban Infrastructure,Better services in your community,Whole of Canberra,150,275,0,0,425,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Strategic Bushfire Management Plan,Environment Planning and Sustainable Development Directorate,30 June 2017,Works-in-progress,Construction,Environmental Measures,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,79,0,0,829,ACT Budget 2017-18
Support for Building Industry – eDevelopment Renovation Project,Environment Planning and Sustainable Development Directorate,30 June 2018,Works-in-progress,ICT,Economic Growth,More and better jobs,Whole of Canberra,1881,0,0,0,1881,-1881,1881,0,0,0,0,0,0,0,ACT Budget 2017-18
Building a better city – Federal Highway and Old Wells Station Road intersection upgrade,Transport Canberra and City Services Directorate,30 June 2018,New Works,Design,Major Roads,Building a better city,Gungahlin,1200,0,0,0,1200,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Urban Renewal Program – Civic and Braddon public realm improvements,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Canberra Central,0,0,0,0,0,-1050,1050,0,0,0,58,0,0,332,ACT Budget 2017-18
West Belconnen Resource Management Centre Rehabilitation of Landfill Cells,Transport Canberra and City Services Directorate,30 June 2018,Works-in-progress,Construction,Environmental Measures,Better services in your community,Belconnen,200,0,0,0,200,0,0,0,0,0,-28,0,0,-28,ACT Budget 2017-18
Urban Renewal Program – Melrose football precinct,"Chief Minister, Treasury and Economic Development Directorate",28 February 2017,Works-in-progress,Construction,Urban Infrastructure,Better services in your community,Woden,495,0,0,0,495,0,0,0,0,0,86,0,0,5944,ACT Budget 2017-18
Urban Renewal Program – Molonglo 3 infrastructure,"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,Design,Urban Infrastructure,Building a better city,Woden,760,1000,0,0,1760,-90,-910,1000,0,0,210,0,0,870,ACT Budget 2017-18
Urban Renewal Program – Phillip Oval upgrade,"Chief Minister, Treasury and Economic Development Directorate",31 October 2017,Works-in-progress,Construction,Urban Infrastructure,Better services in your community,Woden,0,0,0,0,0,-3600,3600,0,0,0,157,0,0,420,ACT Budget 2017-18
Better support when it matters – Bimberi Youth Justice Centre communications,Community Services Directorate,30 June 2018,New Works,ICT,Community Services,Better support when it matters,Gungahlin,326,0,0,0,326,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better support when it matters – Child Youth Protection System Critical Information Migration,Community Services Directorate,30 June 2018,New Works,ICT,Community Services,Better support when it matters,Whole of Canberra,700,0,0,0,700,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better schools for our kids – New school facilities in East Gungahlin – Early planning,Education Directorate,30 June 2018,New Works,Early Planning,Education,Better schools for our kids,Gungahlin,250,0,0,0,250,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better schools for our kids – New school facilities in Molonglo – Early planning,Education Directorate,30 June 2018,New Works,Early Planning,Education,Better schools for our kids,Woden,500,0,0,0,500,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better schools for our kids – Expanding schools in Gungahlin,Education Directorate,30 June 2021,New Works,Construction,Education,Better schools for our kids,Gungahlin,6972,7300,6200,3600,24072,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Building a better city– Improving Tharwa Village fire fighting water supply,Transport Canberra and City Services Directorate,30 June 2018,New Works,Construction,Urban Infrastructure,Building a better city,Tuggeranong,250,1177,0,0,1427,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Urban Development Sequence for Affordable Housing (Early Planning),Environment Planning and Sustainable Development Directorate,30 June 2017,Works-in-progress,Early Planning,Urban Infrastructure,Better support when it matters,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,86,ACT Budget 2017-18
Urban Renewal Program – Better Public Housing – Allawah Court,Environment Planning and Sustainable Development Directorate,30 March 2018,Works-in-progress,Construction,Public Housing,Better support when it matters,Canberra Central,11300,0,0,0,11300,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Urban Renewal Program – Better Public Housing – Karuah,Environment Planning and Sustainable Development Directorate,30 March 2018,Works-in-progress,Construction,Public Housing,Better support when it matters,Canberra Central,5000,0,0,0,5000,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better support when it matters – Aboriginal and Torres Strait Islander people older persons housing ,Housing ACT,30 June 2018,New Works,Early Planning,Community Services,Better support when it matters,Canberra Central,350,0,0,0,350,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better support when it matters – Planning for social housing,Housing ACT,30 June 2018,New Works,Early Planning,Community Services,Better support when it matters,Whole of Canberra,350,0,0,0,350,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better care when you need it  – More nurse–led Walk in Centres ,Health Directorate,30 June 2019,New Works,Construction,Health Services,Better care when you need it,Whole of Canberra,3425,0,0,0,3425,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
"Better care when you need it – Expanding Centenary Hospital – More services for women and children
",Health Directorate,30 June 2019,New Works,Early Planning,Health Services,Better care when you need it,Whole of Canberra,300,225,0,0,525,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better care when you need it – New health centre for Aboriginal and Torres Strait Islander Canberrans,Health Directorate,30 June 2021,New Works,Construction,Health Services,Better care when you need it,Whole of Canberra,1000,5000,5600,400,12000,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
"Better care when you need it – Surgical Procedures, Interventional Radiology and Emergency Centre (SPIRE) – Major expansion of services at Canberra Hospital
",Health Directorate,30 June 2019,New Works,Early Planning,Health Services,Better care when you need it,Whole of Canberra,3000,3000,0,0,6000,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
"Better care when you need it – Planning for healthcare in Canberra's north
",Health Directorate,30 June 2019,New Works,Early Planning,Health Services,Better care when you need it,Whole of Canberra,1500,1750,0,0,3250,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better care when you need it  – Training our future health workforce,Health Directorate,30 June 2020,New Works,Construction,Health Services,Better care when you need it,Whole of Canberra,700,700,300,0,1700,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
"Better care when you need it – Protecting Canberrans from infectious diseases
",Health Directorate,30 June 2018,New Works,ICT,Health Services,Better care when you need it,Whole of Canberra,398,0,0,0,398,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better support when it matters – More frontline firefighters – Second crew at Ainslie Station,Justice and Community Safety Directorate,30 June 2018,New Works,Construction,Community Services,Better support when it matters,Canberra Central,576,0,0,0,576,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better support when it matters – Upgrading ESA Communications Centre and non-emergency patient transport facilities,Justice and Community Safety Directorate,30 June 2019,New Works,Construction,Community Services,Better support when it matters,Whole of Canberra,1449,1450,0,0,2899,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better services in your community – Expanding the Domestic Animal Shelter ,Transport Canberra and City Services Directorate,30 June 2019,New Works,Early Planning,Community Services,Better services in your community,Whole of Canberra,400,150,0,0,550,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Building a better city – Active Travel – Belconnen bikeway,Transport Canberra and City Services Directorate,30 June 2018,New Works,Construction,Public Transport and Active Travel,Better services in your community,Belconnen,250,0,0,0,250,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Building a better city – Active Travel– Secure bike parking,Transport Canberra and City Services Directorate,30 June 2018,New Works,Construction,Public Transport and Active Travel,Building a better city,Canberra Central,20,0,0,0,20,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better services in your community  – Faster bus travel,Transport Canberra and City Services Directorate,30 June 2020,New Works,Construction,Public Transport and Active Travel,Better services in your community,Canberra Central,750,500,500,0,1750,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
