Project Name,Directorate,Project  Estimated Completion Date,Project Classification,Category (Construction/Design/Early Planning/ICT/Plant & Equipment ),Project Type,Government Priority,Region ,2017-18 Budgeted Financing ($'000),2018-19 Budgeted Financing ($'000),2019-20 Budgeted Financing ($'000),2020-21 Budgeted Financing ($'000),Total Budgeted Financing ($'000),2016-17 Re-profiling ($'000) ,2017-18 Re-profiling ($'000) ,2018-19 Re-profiling ($'000) ,2019-20 Re-profiling ($'000) ,2020-21 Re-profiling ($'000) ,2015-16Section 16(b) Rollovers of unspent funds ($'000),2016-17 Variations ($'000),2016-17 Savings returned to Budget ($'000) ,Total Financing 2016-17 ($'000),Budget
2017–18 Better Infrastructure Fund ,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Better Infrastructure Fund,BIF ,BIF ,Better services in your community,Whole of Canberra,7418,7603,7794,7988,30803,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
2017–18 Better Infrastructure Fund ,Transport Canberra and City Services Directorate,30 June 2018,Better Infrastructure Fund,BIF ,BIF ,Better services in your community,Whole of Canberra,20639,21155,21684,22226,85704,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Prior Year Better Infrastructure Fund,Canberra Institute of Technology,30 September 2017,Works-in-progress,BIF ,Education,Better schools for our kids,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,2487,ACT Budget 2017-18
Aboriginal Torres Strait Islander Residential Alcohol and Other Drug Rehabilitation Facility,Health Directorate,30 June 2018,Works-in-progress,Construction,Health Services,Better care when you need it,Whole of Canberra,1700,0,0,0,1700,-1700,1700,0,0,0,963,0,0,1443,ACT Budget 2017-18
Accommodation – Staff Relocation,Office of the Legislative Assembly,30 June 2016,Works-in-progress,Construction,Economic Growth,More and better jobs,Canberra Central,0,0,0,0,0,0,0,0,0,0,41,0,0,41,ACT Budget 2017-18
Ainslie Music Hub,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,4,0,-4,0,ACT Budget 2017-18
ACT Corrective Services – Accommodation fit out,Justice and Community Safety Directorate,30 June 2016,Works-in-progress,Construction,Community Services,Better support when it matters,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,1636,ACT Budget 2017-18
ACT Corrective Services – Information management,Justice and Community Safety Directorate,30 June 2018,Works-in-progress,ICT,Community Services,Better support when it matters,Whole of Canberra,3467,0,0,0,3467,-1350,1350,0,0,0,40,0,0,1772,ACT Budget 2017-18
ACT Corrective Services – Information management solution,Justice and Community Safety Directorate,30 June 2018,Works-in-progress,ICT,Community Services,Better support when it matters,Whole of Canberra,2226,0,0,0,2226,0,0,0,0,0,0,0,0,74,ACT Budget 2017-18
ACT Legislation Register Replacement,Justice and Community Safety Directorate,30 June 2019,Works-in-progress,ICT,Community Services,Better support when it matters,Canberra Central,1400,474,0,0,1874,-1400,926,474,0,0,395,0,0,1434,ACT Budget 2017-18
ACT Teacher Quality Institute – Digital Service Delivery Phase 2,Education Directorate,30 June 2019,Works-in-progress,ICT,Education,Better schools for our kids,Belconnen,139,79,0,0,218,0,0,0,0,0,0,0,0,198,ACT Budget 2017-18
ACT Travel Time Information,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,Construction,Public Transport and Active Travel,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,120,0,0,413,ACT Budget 2017-18
ACTION – Bus Replacement Program,Transport Canberra and City Services Directorate,30 June 2018,Works-in-progress,Plant & Equipment ,Public Transport and Active Travel,Better services in your community,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,1171,0,0,6890,ACT Budget 2017-18
ACTION – Replace Underground Storage Tanks,Transport Canberra and City Services Directorate,31 May 2017,Works-in-progress,Construction,Public Transport and Active Travel,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,267,0,0,267,ACT Budget 2017-18
Australia Forum – Investment ready,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,243,0,-243,0,ACT Budget 2017-18
Belconnen Arts Centre Stage 2 (Early Planning and Forward Design),"Chief Minister, Treasury and Economic Development Directorate",30 June 2017,Works-in-progress,Design,Urban Infrastructure,More and better jobs,Belconnen,0,0,0,0,0,0,0,0,0,0,27,0,0,3,ACT Budget 2017-18
Better Public Housing – New Public Housing Properties,"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,Construction,Public Housing,Better support when it matters,Canberra Central,0,0,0,0,0,-26000,26000,0,0,0,-48104,0,0,81879,ACT Budget 2017-18
Better Roads for Gungahlin – Enhanced Town Centre road network,"Chief Minister, Treasury and Economic Development Directorate",31 December 2017,Works-in-progress,Construction,Urban Roads,Building a better city,Gungahlin,624,0,0,0,624,-624,624,0,0,0,824,0,0,4400,ACT Budget 2017-18
Better Roads for Gungahlin – Gungahlin town centre road network improvements,"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,Construction,Urban Roads,Building a better city,Gungahlin,1944,2500,0,0,4444,-4444,1944,2500,0,0,0,0,0,56,ACT Budget 2017-18
Better Roads for Gungahlin – Horse Park Drive duplication,"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,Construction,Major Roads,Building a better city,Gungahlin,2945,3000,0,0,5945,-2145,-855,3000,0,0,477,0,0,8332,ACT Budget 2017-18
Carbon Neutral Schools – Stage 1 ,Education Directorate,30 June 2017,Works-in-progress,Construction,Education,Better schools for our kids,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,219,0,0,213,ACT Budget 2017-18
Alexander Machonochie Centre – Heating Units,Justice and Community Safety Directorate,30 June 2016,Works-in-progress,Plant & Equipment ,Community Services,Better support when it matters,Canberra Central,0,0,0,0,0,0,0,0,0,0,30,0,0,30,ACT Budget 2017-18
Alexander Maconochie Centre – Building upgrade,Justice and Community Safety Directorate,31 December 2016,Works-in-progress,Construction,Community Services,Better support when it matters,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,ACT Budget 2017-18
Alexander Maconochie Centre – Electronic security system,Justice and Community Safety Directorate,31 May 2016,Works-in-progress,Plant & Equipment ,Community Services,Better support when it matters,Canberra Central,0,0,0,0,0,0,0,0,0,0,567,0,0,567,ACT Budget 2017-18
Alexander Maconochie Centre Detainee Industries and Activities Enhancement Project,Justice and Community Safety Directorate,31 December 2016,Works-in-progress,Construction,Community Services,Better support when it matters,Canberra Central,400,0,0,0,400,0,0,0,0,0,313,0,0,7603,ACT Budget 2017-18
An E – Healthy Future,Health Directorate,30 June 2018,Works-in-progress,ICT,Health Services,Better care when you need it,Whole of Canberra,9000,0,0,0,9000,-6000,6000,0,0,0,5688,0,0,9188,ACT Budget 2017-18
Assembly artwork,Office of the Legislative Assembly,30 June 2018,Works-in-progress,Plant & Equipment ,Economic Growth,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,30,ACT Budget 2017-18
Assembly furniture,Office of the Legislative Assembly,30 June 2018,Works-in-progress,Plant & Equipment ,Economic Growth,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,150,ACT Budget 2017-18
Assembly library collection ,Office of the Legislative Assembly,30 June 2018,Works-in-progress,Plant & Equipment ,Economic Growth,Better services in your community,Canberra Central,5,5,5,5,20,0,0,0,0,0,0,0,0,5,ACT Budget 2017-18
Better Roads for Gungahlin – Horse Park Drive pedestrian overpass,"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,Grant,Public Transport and Active Travel,Building a better city,Gungahlin,153,100,0,0,253,-253,153,100,0,0,0,0,0,147,ACT Budget 2017-18
Better Roads for the Inner South – Yarralumla Estate,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Early Planning,Urban Roads,Building a better city,Canberra Central,145,0,0,0,145,-145,145,0,0,0,0,0,0,105,ACT Budget 2017-18
Belconnen High School Modernisation – Stage 1,Education Directorate,30 June 2016,Works-in-progress,Construction,Education,Better schools for our kids,Belconnen,0,0,0,0,0,0,0,0,0,0,344,0,0,0,ACT Budget 2017-18
Belconnen Regional Trade Skills Centre,Education Directorate,30 June 2017,Works-in-progress,Construction,Education,Better schools for our kids,Belconnen,0,0,0,0,0,0,0,0,0,0,-184,725,0,514,ACT Budget 2017-18
Better Health Services – Calvary Hospital – Improving information technology network ,Health Directorate,30 June 2017,Works-in-progress,ICT,Health Services,Better care when you need it,Belconnen,0,0,0,0,0,0,0,0,0,0,0,0,0,250,ACT Budget 2017-18
Better Health Services – City Health Centre – Early Planning,Health Directorate,30 June 2017,Works-in-progress,Early Planning,Health Services,Better care when you need it,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,360,ACT Budget 2017-18
Better Health Services – Improved Drugs and Poisons Information System,Health Directorate,30 June 2019,Works-in-progress,ICT,Health Services,Better care when you need it,Canberra Central,379,300,0,0,679,-300,,300,0,0,0,0,0,50,ACT Budget 2017-18
Better Health Services – Upgrading and maintaining ACT Health assets,Health Directorate,30 June 2019,Works-in-progress,Construction,Health Services,Better care when you need it,Canberra Central,39091,35328,0,0,74419,0,0,0,0,0,0,0,0,18584,ACT Budget 2017-18
Better Health Services – Upgrading the ACT Notifiable Diseases Database ,Health Directorate,30 June 2018,Works-in-progress,ICT,Health Services,Better care when you need it,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ACT Budget 2017-18
Better Public  Transport – Bus Fleet upgrades,Transport Canberra and City Services Directorate,31 December 2017,Works-in-progress,Plant & Equipment ,Public Transport and Active Travel,Better services in your community,Whole of Canberra,0,0,0,0,0,2000,-2000,0,0,0,0,0,0,10000,ACT Budget 2017-18
Better Public Housing – New Public Housing Properties,Environment Planning and Sustainable Development Directorate,30 June 2019,Works-in-progress,Construction,Public Housing,Better support when it matters,Canberra Central,147200,80019,0,0,227219,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better Services – Dickson Motor Vehicle inspection station,"Chief Minister, Treasury and Economic Development Directorate",30 June 2017,Works-in-progress,Construction,Urban Infrastructure,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,800,ACT Budget 2017-18
Equipment Purchase Funding,"Chief Minister, Treasury and Economic Development Directorate",,Works-in-progress,ICT,Economic Growth,More and better jobs,Whole of Canberra,1000,1000,1000,1000,4000,0,0,0,0,0,0,0,0,1000,ACT Budget 2017-18
Better Public Transport – Active travel for schools and shopping centres ,Transport Canberra and City Services Directorate,31 December 2018,Works-in-progress,Construction,Public Transport and Active Travel,Building a better city,Canberra Central,1000,0,0,0,1000,-500,500,0,0,0,0,0,0,2000,ACT Budget 2017-18
Better Public Transport – Active travel for schools and shopping centres – Hibberson St Shared Zone,Transport Canberra and City Services Directorate,31 July 2017,Works-in-progress,Early Planning,Public Transport and Active Travel,Building a better city,Gungahlin,0,0,0,0,0,0,0,0,0,0,0,0,0,300,ACT Budget 2017-18
"Better Public Transport – Integrated bus and light rail ticketing – One Ticket, One Fare, One Network",Transport Canberra and City Services Directorate,30 June 2018,Works-in-progress,ICT,Public Transport and Active Travel,Better services in your community,Whole of Canberra,2500,0,0,0,2500,-2500,2500,0,0,0,0,0,0,500,ACT Budget 2017-18
Better Public Transport – Trial of electric buses,Transport Canberra and City Services Directorate,30 June 2018,Works-in-progress,Plant & Equipment ,Public Transport and Active Travel,Better services in your community,Whole of Canberra,600,0,0,0,600,-600,600,0,0,0,0,0,0,0,ACT Budget 2017-18
Better Public Transport for Tuggeranong – Park and ride facility for Wanniassa,Transport Canberra and City Services Directorate,30 June 2018,Works-in-progress,Construction,Public Transport and Active Travel,Better services in your community,Tuggeranong,1000,0,0,0,1000,0,0,0,0,0,0,0,0,500,ACT Budget 2017-18
Better Public Transport for Woden and Weston Creek – New Woden bus depot,Transport Canberra and City Services Directorate,30 June 2019,Works-in-progress,Construction,Public Transport and Active Travel,Better services in your community,Woden,0,0,0,0,0,0,0,0,0,0,0,0,0,775,ACT Budget 2017-18
Better Road for Tuggeranong – Ashley Drive duplication – Stage 2,Transport Canberra and City Services Directorate,30 June 2018,Works-in-progress,Construction,Major Roads,Building a better city,Tuggeranong,11762,0,0,0,11762,-3000,3000,0,0,0,0,0,0,10703,ACT Budget 2017-18
Better Roads for Belconnen – Aikman Drive duplication,Transport Canberra and City Services Directorate,30 June 2018,Works-in-progress,Construction,Major Roads,Building a better city,Belconnen,5500,0,0,0,5500,-1500,1500,0,0,0,0,0,0,4301,ACT Budget 2017-18
Better Roads for Canberra – Stronger bridges to transport freight,Transport Canberra and City Services Directorate,30 June 2019,Works-in-progress,Construction,Major Roads,Building a better city,Canberra Central,2800,1800,0,0,4600,-500,500,0,0,0,0,0,0,1900,ACT Budget 2017-18
Better Services – Weston Creek and Stromlo swimming pool and leisure centre,"Chief Minister, Treasury and Economic Development Directorate",30 June 2020,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Woden,10940,11000,11000,0,32940,-2940,2940,0,0,0,0,0,0,60,ACT Budget 2017-18
Better Roads for Gungahlin – Gundaroo Drive duplication – Stage 1,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,Construction,Major Roads,Building a better city,Gungahlin,12000,0,0,0,12000,-12000,12000,0,0,0,0,0,0,15857,ACT Budget 2017-18
Better services in your community – Macarthur House Data Centre decommissioning program,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,New Works,ICT,Economic Growth,Better services in your community,Canberra Central,3200,0,0,0,3200,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better services in your community – Tough on road safety,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,New Works,Plant & Equipment ,Community Services,Better services in your community,Whole of Canberra,176,0,0,0,176,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better Roads for Gungahlin – Horse Park Drive duplication,Transport Canberra and City Services Directorate,30 June 2016,Works-in-progress,Early Planning,Major Roads,Building a better city,Gungahlin,0,0,0,0,0,0,0,0,0,0,162,0,0,213,ACT Budget 2017-18
Better Roads for Gungahlin – Horse Park Drive duplication (Mulligans Flat Road to the Federal Highway),Transport Canberra and City Services Directorate,30 June 2019,Works-in-progress,Construction,Major Roads,Building a better city,Gungahlin,25000,28000,0,0,53000,-1000,1000,0,0,0,0,0,0,4000,ACT Budget 2017-18
Building a better city – Canberra Brickworks– Access road and Dudley Street upgrade,"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,New Works,Construction,Urban Roads,Building a better city,Canberra Central,4000,4000,0,0,8000,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Building a better city – Civic and Dickson office accommodation ,"Chief Minister, Treasury and Economic Development Directorate",30 June 2021,New Works,Plant & Equipment ,Urban Infrastructure,Building a better city,Canberra Central,1045,2727,23045,12727,39544,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better Roads for Tuggeranong – Ashley Drive duplication (Ellerston Avenue to Johnson Drive),Transport Canberra and City Services Directorate,30 June 2018,Works-in-progress,Construction,Major Roads,Building a better city,Tuggeranong,3000,0,0,0,3000,0,0,0,0,0,0,0,0,500,ACT Budget 2017-18
Caring for our Environment – Essential waste management infrastructure,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,Design,Environmental Measures,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ACT Budget 2017-18
Better Roads for Weston Creek – Cotter Road duplication (Tuggeranong Parkway to Yarralumla Creek),Transport Canberra and City Services Directorate,31 December 2018,Works-in-progress,Construction,Major Roads,Building a better city,Woden,11450,9000,0,0,20450,4000,-2000,-2000,0,0,0,0,0,8450,ACT Budget 2017-18
Better Roads for Woden – Intersection safety upgrades ,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,Construction,Urban Roads,Building a better city,Woden,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,ACT Budget 2017-18
Better Schools – ACT Board of Senior Secondary Studies database upgrade,Education Directorate,30 June 2017,Works-in-progress,ICT,Education,Better schools for our kids,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,0,0,0,376,ACT Budget 2017-18
Better Schools – Investment in Gungahlin school infrastructure,Education Directorate,28 February 2018,Works-in-progress,Construction,Education,Better schools for our kids,Gungahlin,8650,0,0,0,8650,0,0,0,0,0,0,0,0,7950,ACT Budget 2017-18
Better Schools – IT upgrade for school administration,Education Directorate,30 June 2019,Works-in-progress,ICT,Education,Better schools for our kids,Whole of Canberra,4291,2397,0,0,6688,-500,500,0,0,0,0,0,0,3312,ACT Budget 2017-18
Building a better city – Improving major venues,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,New Works,Construction,Urban Infrastructure,Building a better city,Whole of Canberra,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better Services – Improved asset management ,Transport Canberra and City Services Directorate,31 December 2019,Works-in-progress,ICT,Economic Growth,Better services in your community,Whole of Canberra,1000,500,205,0,1705,-500,500,0,0,0,0,0,0,0,ACT Budget 2017-18
Better Services – Improving libraries – self service check out and improved access,Transport Canberra and City Services Directorate,31 December 2018,Works-in-progress,ICT,Community Services,Better services in your community,Whole of Canberra,1900,200,0,0,2100,-1000,1000,0,0,0,0,0,0,100,ACT Budget 2017-18
Building a better city – Indoor Sports Centres – Early planning,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,New Works,Early Planning,Urban Infrastructure,Building a better city,Whole of Canberra,160,0,0,0,160,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Bowes Street Fit Out,Health Directorate,30 June 2018,Works-in-progress,Construction,Health Services,Better care when you need it,Woden,0,0,0,0,0,0,0,0,0,0,0,11000,0,11000,ACT Budget 2017-18
Bridge Strengthening on Commercial Routes,Transport Canberra and City Services Directorate,31 December 2016,Works-in-progress,Construction,Major Roads,More and better jobs,Canberra Central,0,0,0,0,0,0,0,0,0,0,1369,0,0,1341,ACT Budget 2017-18
Bridge Strengthening on Commercial Routes 2,Transport Canberra and City Services Directorate,31 August 2017,Works-in-progress,Construction,Major Roads,More and better jobs,Canberra Central,0,0,0,0,0,0,0,0,0,0,31,0,0,31,ACT Budget 2017-18
Broadcasting Infrastructure and Audio – Visual Systems Upgrade,Office of the Legislative Assembly,31 July 2017,Works-in-progress,ICT,Economic Growth,More and better jobs,Canberra Central,0,0,0,0,0,0,0,0,0,0,66,0,0,66,ACT Budget 2017-18
Calvary Public Hospital – Car park,Health Directorate,30 June 2018,Works-in-progress,Construction,Health Services,Better care when you need it,Belconnen,0,0,0,0,0,0,0,0,0,0,109,-2159,0,1203,ACT Budget 2017-18
Calvary Public Hospital – Expanded hospital services,Health Directorate,30 June 2017,Works-in-progress,Grant,Health Services,Better care when you need it,Belconnen,0,0,0,0,0,0,0,0,0,0,1100,0,0,2938,ACT Budget 2017-18
Canberra Regional Visitors Centre Relocation,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Construction,Economic Growth,More and better jobs,Canberra Central,562,0,0,0,562,-562,562,0,0,0,3525,0,0,4176,ACT Budget 2017-18
Calvary Public Hospital – Operating theatre upgrade,Health Directorate,30 June 2018,Works-in-progress,Grant,Health Services,Better care when you need it,Belconnen,4827,0,0,0,4827,-4827,4827,0,0,0,800,0,0,762,ACT Budget 2017-18
Calvary Public Hospital – Upgrade of medical imaging equipment,Health Directorate,30 June 2018,Works-in-progress,Grant,Health Services,Better care when you need it,Belconnen,2222,0,0,0,2222,-2222,2222,0,0,0,1048,0,0,1500,ACT Budget 2017-18
Canberra Hospital – More beds,Health Directorate,30 June 2018,Works-in-progress,Construction,Health Services,Better care when you need it,Whole of Canberra,500,0,0,0,500,0,0,0,0,0,0,-1975,0,0,ACT Budget 2017-18
Caring for our Environment – Lake Tuggeranong Water Quality Improvement – Stage 2 (Isabella Weir),"Chief Minister, Treasury and Economic Development Directorate",30 June 2019,Works-in-progress,Construction,Environmental Measures,Better services in your community,Tuggeranong,500,8500,0,0,9000,0,-2000,2000,0,0,0,0,0,0,ACT Budget 2017-18
Canberra Theatre Centre Upgrade – Stage 3,Cultural Facilities Corporation,30 June 2018,Works-in-progress,Construction,Community Services,More and better jobs,Canberra Central,792,0,0,0,792,0,0,0,0,0,0,0,0,1386,ACT Budget 2017-18
2017–18 Better Infrastructure Fund ,Environment Planning and Sustainable Development Directorate,30 June 2018,Better Infrastructure Fund,BIF ,BIF ,Better services in your community,Whole of Canberra,976,1000,1025,1051,4052,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
"Better services in your community – Improving our capacity to fight bushfires
",Environment Planning and Sustainable Development Directorate,30 June 2019,New Works,Construction,Community Services,Better services in your community,Whole of Canberra,1267,1489,430,0,3186,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
CBR FREE Wifi,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,186,0,-186,0,ACT Budget 2017-18
Better services in your community – Jarramlee Nature Reserve – Protecting our nature reserves,Environment Planning and Sustainable Development Directorate,30 June 2019,New Works,Construction,Environmental Measures,Better services in your community,Belconnen,112,200,0,0,312,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better support when it matters – Public Housing Renewal – New and better properties,Environment Planning and Sustainable Development Directorate,30 June 2019,New Works,Construction,Public Housing,Better support when it matters,Whole of Canberra,27295,20124,0,0,47419,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Childcare Centre Upgrades – Stage 2,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,818,0,-818,0,ACT Budget 2017-18
"CIT Modernisation – Tuggeranong, Bruce and Reid campuses",Canberra Institute of Technology,30 June 2016,Works-in-progress,Construction,Education,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,ACT Budget 2017-18
CIT Plant and Equipment ,Canberra Institute of Technology,30 June 2018,Works-in-progress,Plant & Equipment ,Education,Better services in your community,Canberra Central,2150,1257,1257,1257,5921,-893,893,0,0,0,0,0,0,364,ACT Budget 2017-18
Childcare Centre Upgrades – Stage 3,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,23,0,-23,0,ACT Budget 2017-18
City Action Plan Stage 1 – Edinburgh Avenue Improvements,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,ACT Budget 2017-18
City to Lake – West Basin Public Waterfront (Design),"Chief Minister, Treasury and Economic Development Directorate",30 June 2017,Works-in-progress,Design,Economic Growth,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,85,0,0,589,ACT Budget 2017-18
City to the Lake – New Canberra Theatre (Early Planning),Environment Planning and Sustainable Development Directorate,30 June 2018,Works-in-progress,Early Planning,Economic Growth,More and better jobs,Canberra Central,100,0,0,0,100,-100,100,0,0,0,0,0,0,-50,ACT Budget 2017-18
Better support when it matters – Public Housing Renewal – Taskforce operations,Environment Planning and Sustainable Development Directorate,30 June 2018,New Works,Construction,Public Housing,Better support when it matters,Whole of Canberra,1122,1314,0,0,2436,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
City to the Lake – New Civic Pool ,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Canberra Central,0,0,0,0,0,-400,400,0,0,0,0,0,0,0,ACT Budget 2017-18
Building a better city – Bindubi Street extension – Early planning,Environment Planning and Sustainable Development Directorate,30 June 2018,New Works,Early Planning,Urban Roads,Building a better city,Woden,300,0,0,0,300,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
City to the Lake Arterial Roads Concept Design,"Chief Minister, Treasury and Economic Development Directorate",31 December 2017,Works-in-progress,Design,Major Roads,Building a better city,Canberra Central,0,0,0,0,0,-1336,1336,0,0,0,636,0,0,273,ACT Budget 2017-18
Building a better city – Molonglo East-West Arterial road – Early planning,Environment Planning and Sustainable Development Directorate,30 June 2019,New Works,Early Planning,Major Roads,Building a better city,Woden,200,100,0,0,300,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Conservation Management Plans for Heritage Buildings (Early Planning),"Chief Minister, Treasury and Economic Development Directorate",31 May 2017,Works-in-progress,Early Planning,Environmental Measures,Better services in your community,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,4,0,0,74,ACT Budget 2017-18
City to the Lake Arterial Roads Concept Design ,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,Design,Major Roads,Building a better city,Canberra Central,1336,0,0,0,1336,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Civic to Gungahlin Corridor Improvements ,Transport Canberra and City Services Directorate,30 June 2017,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Gungahlin,2500,0,0,0,2500,-2500,2500,0,0,0,2145,0,0,8417,ACT Budget 2017-18
Client Management System for Child and Youth Protection Services,Community Services Directorate,30 June 2018,Works-in-progress,ICT,Community Services,Better services in your community,Whole of Canberra,2348,0,0,0,2348,-2348,2348,0,0,0,0,0,0,424,ACT Budget 2017-18
Clinical Services and Inpatient Unit Design and Infrastructure Expansion,Health Directorate,30 June 2018,Works-in-progress,Construction,Health Services,Better care when you need it,Whole of Canberra,910,0,0,0,910,-910,910,0,0,0,4293,-1285,0,5305,ACT Budget 2017-18
Clinical Services Redevelopment – Phase 2 ,Health Directorate,30 June 2017,Works-in-progress,Construction,Health Services,Better care when you need it,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,0,-225,0,375,ACT Budget 2017-18
Clinical Services Redevelopment – Phase 3,Health Directorate,30 June 2017,Works-in-progress,Construction,Health Services,Better care when you need it,Whole of Canberra,2357,0,0,0,2357,-2357,2357,0,0,0,0,-1781,0,934,ACT Budget 2017-18
COAG Universal Access to Preschools – Stage 1 Expansion Works,Education Directorate,30 June 2016,Works-in-progress,Construction,Education,Better schools for our kids,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,54,0,0,24,ACT Budget 2017-18
Community and Social Housing & National Affordable Housing Agreement Funding,Housing ACT,,Works-in-progress,Construction,Community Services,Better services in your community,Whole of Canberra,5000,5000,5000,5000,20000,0,0,0,0,0,0,0,0,5000,ACT Budget 2017-18
Coppins Crossing Road and William Hovell Drive Intersection and road Upgrades (Feasibility),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,-76,0,76,0,ACT Budget 2017-18
Constitution Avenue,Transport Canberra and City Services Directorate,30 September 2016,Works-in-progress,Construction,Major Roads,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,977,0,0,0,ACT Budget 2017-18
Constitution Avenue to Vernon Circle,Transport Canberra and City Services Directorate,30 September 2016,Works-in-progress,Construction,Major Roads,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,0,0,1857,ACT Budget 2017-18
Continuity of Health Services Plan – Essential Infrastructure,Health Directorate,31 December 2017,Works-in-progress,Construction,Health Services,Better care when you need it,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,0,-312,0,4522,ACT Budget 2017-18
Coombs P–6 School Construction Funding,Education Directorate,30 June 2016,Works-in-progress,Construction,Education,Better schools for our kids,Gungahlin,100,0,0,0,100,0,0,0,0,0,271,0,-800,524,ACT Budget 2017-18
Cravens Creek Water Quality Control Pond,"Chief Minister, Treasury and Economic Development Directorate",30 September 2017,Works-in-progress,Construction,Environmental Measures,Better services in your community,Tuggeranong,200,0,0,0,200,200,-200,0,0,0,-459,-350,0,1391,ACT Budget 2017-18
