"MB_CODE_2011","LGA_CODE_2011","LGA_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","AREA_ALBERS_SQKM"
"80001740000","89399","Unincorporated ACT","8","Australian Capital Territory",0.175439
"80001750000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00429006
"80001760000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0577961
"80001770000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0597179
"80001780000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0321559
"80001790000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0365555
"80001800000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0200747
"80001810000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0113731
"80001820000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0330717
"80001830000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0132295
"80001840000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0862021
"80001850000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0554879
"80001860000","89399","Unincorporated ACT","8","Australian Capital Territory",0.046941
"80001870000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0341524
"80001880000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0338347
"80001890000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0438109
"80001900000","89399","Unincorporated ACT","8","Australian Capital Territory",0.023219
"80001910000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0485583
"80001920000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0265793
"80001930000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0409348
"80001940000","89399","Unincorporated ACT","8","Australian Capital Territory",0.040338
"80001950000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0335205
"80001960000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0315542
"80001970000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0559226
"80001980000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0338464
"80001990000","89399","Unincorporated ACT","8","Australian Capital Territory",0.019694
"80002000000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0198044
"80002010000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0339518
"80002021000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0353091
"80002022000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0174632
"80002030000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0291381
"80002040000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0239604
"80002050000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0223859
"80002060000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0186404
"80002070000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0140201
"80002080000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0267205
"80002090000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00439253
"80002100000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0411148
"80002110000","89399","Unincorporated ACT","8","Australian Capital Territory",0.025183
"80002120000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0675843
"80002130000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0250284
"80002140000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0257238
"80002150000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0220994
"80002160000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0330075
"80002170000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0415229
"80002180000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0170725
"80002190000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0253046
"80002200000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0326273
"80002210000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0482671
"80002220000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0300182
"80002230000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0438532
"80002240000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0385351
"80002250000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0336812
"80002260000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0401651
"80002270000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0119393
"80002280000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0230868
"80002290000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0301081
"80002300000","89399","Unincorporated ACT","8","Australian Capital Territory",0.056831
"80002310000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00252262
"80002320000","89399","Unincorporated ACT","8","Australian Capital Territory",0.373782
"80002330000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0274986
"80002340000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0207486
"80002350000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0723871
