Census,School Name,Category,Year Level,Students
01 February 2009,Malkara School, Public,Year 6,7
01 February 2009,Maribyrnong Primary School, Public,Preschool,25
01 February 2009,Maribyrnong Primary School, Public,Kindergarten ,35
01 February 2009,Maribyrnong Primary School, Public,Year 1,26
01 February 2009,Maribyrnong Primary School, Public,Year 2,24
01 February 2009,Maribyrnong Primary School, Public,Year 3,38
01 February 2009,Maribyrnong Primary School, Public,Year 4,32
01 February 2009,Maribyrnong Primary School, Public,Year 5,37
01 February 2009,Maribyrnong Primary School, Public,Year 6,36
01 February 2009,Mawson Primary School, Public,Preschool,37
01 February 2009,Mawson Primary School, Public,Kindergarten ,26
01 February 2009,Mawson Primary School, Public,Year 1,31
01 February 2009,Mawson Primary School, Public,Year 2,18
01 February 2009,Mawson Primary School, Public,Year 3,25
01 February 2009,Mawson Primary School, Public,Year 4,25
01 February 2009,Mawson Primary School, Public,Year 5,19
01 February 2009,Mawson Primary School, Public,Year 6,22
01 February 2009,Melba Copland Secondary School, Public,Year 7,120
01 February 2009,Melba Copland Secondary School, Public,Year 8,198
01 February 2009,Melba Copland Secondary School, Public,Year 9,179
01 February 2009,Melba Copland Secondary School, Public,Year 10,185
01 February 2009,Melba Copland Secondary School, Public,Year 11,127
01 February 2009,Melba Copland Secondary School, Public,Year 12,165
01 February 2009,Melrose High School, Public,Year 7,211
01 February 2009,Melrose High School, Public,Year 8,198
01 February 2009,Melrose High School, Public,Year 9,205
01 February 2009,Melrose High School, Public,Year 10,201
01 February 2009,Miles Franklin Primary School, Public,Preschool,70
01 February 2009,Miles Franklin Primary School, Public,Kindergarten ,56
01 February 2009,Miles Franklin Primary School, Public,Year 1,44
01 February 2009,Miles Franklin Primary School, Public,Year 2,60
01 February 2009,Miles Franklin Primary School, Public,Year 3,63
01 February 2009,Miles Franklin Primary School, Public,Year 4,43
01 February 2009,Miles Franklin Primary School, Public,Year 5,47
01 February 2009,Miles Franklin Primary School, Public,Year 6,53
01 February 2009,Monash Primary School, Public,Preschool,65
01 February 2009,Monash Primary School, Public,Kindergarten ,58
01 February 2009,Monash Primary School, Public,Year 1,58
01 February 2009,Monash Primary School, Public,Year 2,51
01 February 2009,Monash Primary School, Public,Year 3,63
01 February 2009,Monash Primary School, Public,Year 4,56
01 February 2009,Monash Primary School, Public,Year 5,64
01 February 2009,Monash Primary School, Public,Year 6,61
01 February 2009,Mount Rogers Primary School, Public,Preschool,72
01 February 2009,Mount Rogers Primary School, Public,Kindergarten ,42
01 February 2009,Mount Rogers Primary School, Public,Year 1,24
01 February 2009,Mount Rogers Primary School, Public,Year 2,21
01 February 2009,Mount Rogers Primary School, Public,Year 3,24
01 February 2009,Mount Rogers Primary School, Public,Year 4,25
01 February 2009,Mount Rogers Primary School, Public,Year 5,31
01 February 2009,Mount Rogers Primary School, Public,Year 6,24
01 February 2009,Narrabundah College, Public,Year 11,471
01 February 2009,Narrabundah College, Public,Year 12,433
01 February 2009,Narrabundah Early Childhood School, Public,Preschool,52
01 February 2009,Narrabundah Early Childhood School, Public,Kindergarten ,8
01 February 2009,Narrabundah Early Childhood School, Public,Year 1,3
01 February 2009,Narrabundah Early Childhood School, Public,Year 2,3
01 February 2009,Narrabundah Early Childhood School Koori Program, Public,Preschool,11
01 February 2009,Ngunnawal Primary School, Public,Preschool,85
01 February 2009,Ngunnawal Primary School, Public,Kindergarten ,73
01 February 2009,Ngunnawal Primary School, Public,Year 1,71
01 February 2009,Ngunnawal Primary School, Public,Year 2,51
01 February 2009,Ngunnawal Primary School, Public,Year 3,68
01 February 2009,Ngunnawal Primary School, Public,Year 4,71
01 February 2009,Ngunnawal Primary School, Public,Year 5,65
01 February 2009,Ngunnawal Primary School, Public,Year 6,31
01 February 2009,Ngunnawal Primary School Koori Program, Public,Preschool,18
01 February 2009,North Ainslie Primary School, Public,Preschool,66
01 February 2009,North Ainslie Primary School, Public,Kindergarten ,31
01 February 2009,North Ainslie Primary School, Public,Year 1,31
01 February 2009,North Ainslie Primary School, Public,Year 2,35
01 February 2009,North Ainslie Primary School, Public,Year 3,32
01 February 2009,North Ainslie Primary School, Public,Year 4,36
01 February 2009,North Ainslie Primary School, Public,Year 5,30
01 February 2009,North Ainslie Primary School, Public,Year 6,34
01 February 2009,North Ainslie Primary School IEC, Public,Kindergarten ,33
01 February 2009,North Ainslie Primary School IEC, Public,Year 1,10
01 February 2009,North Ainslie Primary School IEC, Public,Year 2,3
01 February 2009,North Ainslie Primary School IEC, Public,Year 3,11
01 February 2009,North Ainslie Primary School IEC, Public,Year 4,9
01 February 2009,North Ainslie Primary School IEC, Public,Year 5,13
01 February 2009,North Ainslie Primary School IEC, Public,Year 6,11
01 February 2009,O'Connor Cooperative School, Public,Preschool,24
01 February 2009,O'Connor Cooperative School, Public,Kindergarten ,23
01 February 2009,O'Connor Cooperative School, Public,Year 1,17
01 February 2009,O'Connor Cooperative School, Public,Year 2,16
01 February 2009,Palmerston District Primary School, Public,Preschool,53
01 February 2009,Palmerston District Primary School, Public,Kindergarten ,52
01 February 2009,Palmerston District Primary School, Public,Year 1,55
01 February 2009,Palmerston District Primary School, Public,Year 2,47
01 February 2009,Palmerston District Primary School, Public,Year 3,54
01 February 2009,Palmerston District Primary School, Public,Year 4,49
01 February 2009,Palmerston District Primary School, Public,Year 5,70
01 February 2009,Palmerston District Primary School, Public,Year 6,31
01 February 2009,Red Hill Primary School, Public,Preschool,89
01 February 2009,Red Hill Primary School, Public,Kindergarten ,67
01 February 2009,Red Hill Primary School, Public,Year 1,80
01 February 2009,Red Hill Primary School, Public,Year 2,91
01 February 2009,Red Hill Primary School, Public,Year 3,69
01 February 2009,Red Hill Primary School, Public,Year 4,81
01 February 2009,Red Hill Primary School, Public,Year 5,84
01 February 2009,Red Hill Primary School, Public,Year 6,66
01 February 2009,Richardson Primary School, Public,Preschool,42
01 February 2009,Richardson Primary School, Public,Kindergarten ,20
01 February 2009,Richardson Primary School, Public,Year 1,27
01 February 2009,Richardson Primary School, Public,Year 2,23
01 February 2009,Richardson Primary School, Public,Year 3,29
01 February 2009,Richardson Primary School, Public,Year 4,37
01 February 2009,Richardson Primary School, Public,Year 5,30
01 February 2009,Richardson Primary School, Public,Year 6,34
01 February 2009,Southern Cross Early Childhood School, Public,Preschool,40
01 February 2009,Southern Cross Early Childhood School, Public,Kindergarten ,13
01 February 2009,Southern Cross Early Childhood School, Public,Year 1,11
01 February 2009,Southern Cross Early Childhood School, Public,Year 2,7
01 February 2009,Stromlo High School, Public,Year 6,41
01 February 2009,Stromlo High School, Public,Year 7,150
01 February 2009,Stromlo High School, Public,Year 8,183
01 February 2009,Stromlo High School, Public,Year 9,151
01 February 2009,Stromlo High School, Public,Year 10,163
01 February 2009,Taylor Primary School, Public,Preschool,61
01 February 2009,Taylor Primary School, Public,Kindergarten ,41
01 February 2009,Taylor Primary School, Public,Year 1,38
01 February 2009,Taylor Primary School, Public,Year 2,32
01 February 2009,Taylor Primary School, Public,Year 3,26
01 February 2009,Taylor Primary School, Public,Year 4,23
01 February 2009,Taylor Primary School, Public,Year 5,33
01 February 2009,Taylor Primary School, Public,Year 6,21
01 February 2009,Telopea Park School, Public,Kindergarten ,59
01 February 2009,Telopea Park School, Public,Year 1,64
01 February 2009,Telopea Park School, Public,Year 2,61
01 February 2009,Telopea Park School, Public,Year 3,57
01 February 2009,Telopea Park School, Public,Year 4,64
01 February 2009,Telopea Park School, Public,Year 5,62
01 February 2009,Telopea Park School, Public,Year 6,57
01 February 2009,Telopea Park School, Public,Year 7,179
01 February 2009,Telopea Park School, Public,Year 8,173
