Census,School Name,Category,Year Level,Students
01 February 2013,Theodore Primary School,Public,00K,37
01 February 2013,Theodore Primary School,Public,01,44
01 February 2013,Theodore Primary School,Public,02,32
01 February 2013,Theodore Primary School,Public,03,39
01 February 2013,Theodore Primary School,Public,04,36
01 February 2013,Theodore Primary School,Public,05,32
01 February 2013,Theodore Primary School,Public,06,37
01 February 2013,Torrens Primary School,Public,00B,79
01 February 2013,Torrens Primary School,Public,00K,59
01 February 2013,Torrens Primary School,Public,01,60
01 February 2013,Torrens Primary School,Public,02,57
01 February 2013,Torrens Primary School,Public,03,55
01 February 2013,Torrens Primary School,Public,04,62
01 February 2013,Torrens Primary School,Public,05,49
01 February 2013,Torrens Primary School,Public,06,58
01 February 2013,Turner School,Public,00B,59
01 February 2013,Turner School,Public,00K,77
01 February 2013,Turner School,Public,01,55
01 February 2013,Turner School,Public,02,73
01 February 2013,Turner School,Public,03,62
01 February 2013,Turner School,Public,04,74
01 February 2013,Turner School,Public,05,69
01 February 2013,Turner School,Public,06,76
01 February 2013,University of Canberra High School Kaleen,Public,07,48
01 February 2013,University of Canberra High School Kaleen,Public,08,42
01 February 2013,University of Canberra High School Kaleen,Public,09,61
01 February 2013,University of Canberra High School Kaleen,Public,10,48
01 February 2013,University of Canberra Senior Secondary College Lake Ginninderra,Public,10,8
01 February 2013,University of Canberra Senior Secondary College Lake Ginninderra,Public,11,261
01 February 2013,University of Canberra Senior Secondary College Lake Ginninderra,Public,12,220
01 February 2013,Wanniassa Hills Primary School,Public,00B,76
01 February 2013,Wanniassa Hills Primary School,Public,00K,58
01 February 2013,Wanniassa Hills Primary School,Public,01,43
01 February 2013,Wanniassa Hills Primary School,Public,02,66
01 February 2013,Wanniassa Hills Primary School,Public,03,53
01 February 2013,Wanniassa Hills Primary School,Public,04,53
01 February 2013,Wanniassa Hills Primary School,Public,05,48
01 February 2013,Wanniassa Hills Primary School,Public,06,36
01 February 2013,Wanniassa School,Public,00B,71
01 February 2013,Wanniassa School,Public,00K,33
01 February 2013,Wanniassa School,Public,01,27
01 February 2013,Wanniassa School,Public,02,27
01 February 2013,Wanniassa School,Public,03,31
01 February 2013,Wanniassa School,Public,04,26
01 February 2013,Wanniassa School,Public,05,33
01 February 2013,Wanniassa School,Public,06,26
01 February 2013,Wanniassa School,Public,07,50
01 February 2013,Wanniassa School,Public,08,48
01 February 2013,Wanniassa School,Public,09,48
01 February 2013,Wanniassa School,Public,10,69
01 February 2013,Weetangera Primary School,Public,00B,57
01 February 2013,Weetangera Primary School,Public,00K,61
01 February 2013,Weetangera Primary School,Public,01,57
01 February 2013,Weetangera Primary School,Public,02,64
01 February 2013,Weetangera Primary School,Public,03,55
01 February 2013,Weetangera Primary School,Public,04,67
01 February 2013,Weetangera Primary School,Public,05,46
01 February 2013,Weetangera Primary School,Public,06,48
01 February 2013,"Woden School, The",Public,07,21
01 February 2013,"Woden School, The",Public,08,18
01 February 2013,"Woden School, The",Public,09,31
01 February 2013,"Woden School, The",Public,10,16
01 February 2013,"Woden School, The",Public,11,11
01 February 2013,"Woden School, The",Public,12,8
01 February 2013,Yarralumla Primary School,Public,00B,76
01 February 2013,Yarralumla Primary School,Public,00K,57
01 February 2013,Yarralumla Primary School,Public,01,33
01 February 2013,Yarralumla Primary School,Public,02,38
01 February 2013,Yarralumla Primary School,Public,03,39
01 February 2013,Yarralumla Primary School,Public,04,34
01 February 2013,Yarralumla Primary School,Public,05,25
01 February 2013,Yarralumla Primary School,Public,06,19
01 February 2013,Blue Gum Community School,Non Gov,00B,75
01 February 2013,Blue Gum Community School,Non Gov,00K,10
01 February 2013,Blue Gum Community School,Non Gov,01,12
01 February 2013,Blue Gum Community School,Non Gov,02,14
01 February 2013,Blue Gum Community School,Non Gov,03,5
01 February 2013,Blue Gum Community School,Non Gov,04,13
01 February 2013,Blue Gum Community School,Non Gov,05,9
01 February 2013,Blue Gum Community School,Non Gov,06,8
01 February 2013,Blue Gum Community School,Non Gov,07,4
01 February 2013,Blue Gum Community School,Non Gov,08,7
01 February 2013,Blue Gum Community School,Non Gov,09,3
01 February 2013,Blue Gum Community School,Non Gov,10,6
01 February 2013,Brindabella Christian College,Non Gov,00B,46
01 February 2013,Brindabella Christian College,Non Gov,00K,40
01 February 2013,Brindabella Christian College,Non Gov,01,50
01 February 2013,Brindabella Christian College,Non Gov,02,45
01 February 2013,Brindabella Christian College,Non Gov,03,52
01 February 2013,Brindabella Christian College,Non Gov,04,50
01 August 2013,Amaroo School,Gov,Preschool,132
01 February 2013,Brindabella Christian College,Non Gov,05,48
01 February 2013,Brindabella Christian College,Non Gov,06,52
01 February 2013,Brindabella Christian College,Non Gov,07,56
01 February 2013,Brindabella Christian College,Non Gov,08,55
01 February 2013,Brindabella Christian College,Non Gov,09,48
01 February 2013,Brindabella Christian College,Non Gov,10,41
01 February 2013,Brindabella Christian College,Non Gov,11,25
01 February 2013,Brindabella Christian College,Non Gov,12,22
01 February 2013,Burgmann Anglican School,Non Gov,00B,87
01 February 2013,Burgmann Anglican School,Non Gov,00K,100
01 February 2013,Burgmann Anglican School,Non Gov,01,104
01 February 2013,Burgmann Anglican School,Non Gov,02,112
01 February 2013,Burgmann Anglican School,Non Gov,03,112
01 February 2013,Burgmann Anglican School,Non Gov,04,112
01 February 2013,Burgmann Anglican School,Non Gov,05,112
01 February 2013,Burgmann Anglican School,Non Gov,06,113
01 February 2013,Burgmann Anglican School,Non Gov,07,112
01 February 2013,Burgmann Anglican School,Non Gov,08,111
01 February 2013,Burgmann Anglican School,Non Gov,09,124
01 February 2013,Burgmann Anglican School,Non Gov,10,126
01 February 2013,Burgmann Anglican School,Non Gov,11,103
01 February 2013,Burgmann Anglican School,Non Gov,12,101
01 February 2013,Canberra Christian School,Non Gov,00B,7
01 February 2013,Canberra Christian School,Non Gov,00K,6
01 February 2013,Canberra Christian School,Non Gov,01,9
01 February 2013,Canberra Christian School,Non Gov,02,8
01 February 2013,Canberra Christian School,Non Gov,03,4
01 February 2013,Canberra Christian School,Non Gov,04,3
01 February 2013,Canberra Christian School,Non Gov,06,2
01 February 2013,Canberra Girls' Grammar School,Non Gov,00B,71
01 February 2013,Canberra Girls' Grammar School,Non Gov,00K,65
01 February 2013,Canberra Girls' Grammar School,Non Gov,01,63
01 February 2013,Canberra Girls' Grammar School,Non Gov,02,62
01 February 2013,Canberra Girls' Grammar School,Non Gov,03,77
01 February 2013,Canberra Girls' Grammar School,Non Gov,04,79
01 February 2013,Canberra Girls' Grammar School,Non Gov,05,100
01 February 2013,Canberra Girls' Grammar School,Non Gov,06,75
01 February 2013,Canberra Girls' Grammar School,Non Gov,07,158
01 February 2013,Canberra Girls' Grammar School,Non Gov,08,147
01 February 2013,Canberra Girls' Grammar School,Non Gov,09,174
01 February 2013,Canberra Girls' Grammar School,Non Gov,10,149
01 February 2013,Canberra Girls' Grammar School,Non Gov,11,157
01 February 2013,Canberra Girls' Grammar School,Non Gov,12,147
01 February 2013,Canberra Grammar School,Non Gov,00B,127
01 February 2013,Canberra Grammar School,Non Gov,00K,77
01 February 2013,Canberra Grammar School,Non Gov,01,72
01 February 2013,Canberra Grammar School,Non Gov,02,74
01 February 2013,Canberra Grammar School,Non Gov,03,82
01 February 2013,Canberra Grammar School,Non Gov,04,77
01 February 2013,Canberra Grammar School,Non Gov,05,95
01 February 2013,Canberra Grammar School,Non Gov,06,94
01 February 2013,Canberra Grammar School,Non Gov,07,157
01 February 2013,Canberra Grammar School,Non Gov,08,157
01 February 2013,Canberra Grammar School,Non Gov,09,168
01 February 2013,Canberra Grammar School,Non Gov,10,151
01 February 2013,Canberra Grammar School,Non Gov,11,179
01 February 2013,Canberra Grammar School,Non Gov,12,137
01 February 2013,Canberra Montessori School,Non Gov,00B,68
01 February 2013,Canberra Montessori School,Non Gov,00K,30
01 February 2013,Canberra Montessori School,Non Gov,01,19
01 February 2013,Canberra Montessori School,Non Gov,02,25
01 February 2013,Canberra Montessori School,Non Gov,03,16
01 February 2013,Canberra Montessori School,Non Gov,04,9
01 February 2013,Canberra Montessori School,Non Gov,05,6
01 February 2013,Canberra Montessori School,Non Gov,06,6
01 February 2013,Covenant College,Non Gov,00K,15
01 February 2013,Covenant College,Non Gov,01,7
01 February 2013,Covenant College,Non Gov,02,16
01 February 2013,Covenant College,Non Gov,03,9
01 February 2013,Covenant College,Non Gov,04,13
01 February 2013,Covenant College,Non Gov,05,12
01 February 2013,Covenant College,Non Gov,06,24
01 February 2013,Covenant College,Non Gov,07,7
01 February 2013,Covenant College,Non Gov,08,19
01 February 2013,Covenant College,Non Gov,09,15
01 February 2013,Covenant College,Non Gov,10,8
01 February 2013,Daramalan College,Non Gov,07,254
01 February 2013,Daramalan College,Non Gov,08,253
01 February 2013,Daramalan College,Non Gov,09,254
01 February 2013,Daramalan College,Non Gov,10,248
01 February 2013,Daramalan College,Non Gov,11,222
01 February 2013,Daramalan College,Non Gov,12,229
01 February 2013,Emmaus Christian School,Non Gov,00B,24
01 February 2013,Emmaus Christian School,Non Gov,00K,24
01 February 2013,Emmaus Christian School,Non Gov,01,26
01 February 2013,Emmaus Christian School,Non Gov,02,21
01 February 2013,Emmaus Christian School,Non Gov,03,25
01 February 2013,Emmaus Christian School,Non Gov,04,30
01 February 2013,Emmaus Christian School,Non Gov,05,27
01 February 2013,Emmaus Christian School,Non Gov,06,32
01 February 2013,Emmaus Christian School,Non Gov,07,34
01 February 2013,Emmaus Christian School,Non Gov,08,32
01 February 2013,Emmaus Christian School,Non Gov,09,24
01 February 2013,Emmaus Christian School,Non Gov,10,17
01 February 2013,"Galilee School, The",Non Gov,07,1
01 February 2013,"Galilee School, The",Non Gov,08,2
01 February 2013,"Galilee School, The",Non Gov,09,4
01 February 2013,"Galilee School, The",Non Gov,10,10
01 February 2013,Good Shepherd Primary School,Non Gov,00B,109
01 February 2013,Good Shepherd Primary School,Non Gov,00K,174
01 February 2013,Good Shepherd Primary School,Non Gov,01,203
01 February 2013,Good Shepherd Primary School,Non Gov,02,157
01 February 2013,Good Shepherd Primary School,Non Gov,03,146
01 February 2013,Good Shepherd Primary School,Non Gov,04,129
01 February 2013,Good Shepherd Primary School,Non Gov,05,109
01 February 2013,Good Shepherd Primary School,Non Gov,06,84
01 February 2013,Good Shepherd Primary School,Non Gov,07,100
01 February 2013,Holy Family Parish Primary School,Non Gov,00B,90
01 February 2013,Holy Family Parish Primary School,Non Gov,00K,103
01 February 2013,Holy Family Parish Primary School,Non Gov,01,97
01 February 2013,Holy Family Parish Primary School,Non Gov,02,113
01 February 2013,Holy Family Parish Primary School,Non Gov,03,77
01 February 2013,Holy Family Parish Primary School,Non Gov,04,85
01 February 2013,Holy Family Parish Primary School,Non Gov,05,83
01 February 2013,Holy Family Parish Primary School,Non Gov,06,71
01 February 2013,Holy Spirit Primary School,Non Gov,00K,61
01 February 2013,Holy Spirit Primary School,Non Gov,01,60
01 February 2013,Holy Spirit Primary School,Non Gov,02,67
01 February 2013,Holy Spirit Primary School,Non Gov,03,71
01 February 2013,Holy Spirit Primary School,Non Gov,04,57
01 February 2013,Holy Spirit Primary School,Non Gov,05,78
01 February 2013,Holy Spirit Primary School,Non Gov,06,75
01 February 2013,Holy Trinity Primary School,Non Gov,00B,60
01 February 2013,Holy Trinity Primary School,Non Gov,00K,50
01 February 2013,Holy Trinity Primary School,Non Gov,01,50
01 February 2013,Holy Trinity Primary School,Non Gov,02,48
01 February 2013,Holy Trinity Primary School,Non Gov,03,30
01 February 2013,Holy Trinity Primary School,Non Gov,04,37
01 February 2013,Holy Trinity Primary School,Non Gov,05,33
01 February 2013,Holy Trinity Primary School,Non Gov,06,17
01 February 2013,Islamic School of Canberra,Non Gov,00K,31
01 February 2013,Islamic School of Canberra,Non Gov,01,19
01 February 2013,Islamic School of Canberra,Non Gov,02,23
01 February 2013,Islamic School of Canberra,Non Gov,03,26
01 February 2013,Islamic School of Canberra,Non Gov,04,24
01 February 2013,Islamic School of Canberra,Non Gov,05,16
01 February 2013,Islamic School of Canberra,Non Gov,06,20
01 February 2013,Marist College Canberra,Non Gov,04,121
01 February 2013,Marist College Canberra,Non Gov,05,121
01 February 2013,Marist College Canberra,Non Gov,06,142
01 February 2013,Marist College Canberra,Non Gov,07,234
01 February 2013,Marist College Canberra,Non Gov,08,229
01 February 2013,Marist College Canberra,Non Gov,09,211
01 February 2013,Marist College Canberra,Non Gov,10,209
01 February 2013,Marist College Canberra,Non Gov,11,188
01 February 2013,Marist College Canberra,Non Gov,12,178
01 February 2013,Merici College,Non Gov,07,180
01 February 2013,Merici College,Non Gov,08,191
01 February 2013,Merici College,Non Gov,09,206
01 February 2013,Merici College,Non Gov,10,177
01 February 2013,Merici College,Non Gov,11,135
01 February 2013,Merici College,Non Gov,12,117
01 February 2013,Orana School,Non Gov,00B,39
01 February 2013,Orana School,Non Gov,00K,57
01 February 2013,Orana School,Non Gov,01,47
01 February 2013,Orana School,Non Gov,02,56
01 February 2013,Orana School,Non Gov,03,51
01 February 2013,Orana School,Non Gov,04,54
01 February 2013,Orana School,Non Gov,05,56
01 February 2013,Orana School,Non Gov,06,48
01 February 2013,Orana School,Non Gov,07,52
01 February 2013,Orana School,Non Gov,08,47
01 February 2013,Orana School,Non Gov,09,42
01 February 2013,Orana School,Non Gov,10,36
01 February 2013,Orana School,Non Gov,11,25
01 February 2013,Orana School,Non Gov,12,23
01 February 2013,Radford College,Non Gov,00B,44
01 February 2013,Radford College,Non Gov,00K,44
01 February 2013,Radford College,Non Gov,01,44
01 February 2013,Radford College,Non Gov,02,44
01 February 2013,Radford College,Non Gov,03,96
01 February 2013,Radford College,Non Gov,04,96
01 February 2013,Radford College,Non Gov,05,98
01 February 2013,Radford College,Non Gov,06,97
01 February 2013,Radford College,Non Gov,07,176
01 February 2013,Radford College,Non Gov,08,178
01 February 2013,Radford College,Non Gov,09,177
01 February 2013,Radford College,Non Gov,10,176
01 February 2013,Radford College,Non Gov,11,176
01 February 2013,Radford College,Non Gov,12,175
01 February 2013,Rosary Primary School,Non Gov,00K,46
01 February 2013,Rosary Primary School,Non Gov,01,55
01 February 2013,Rosary Primary School,Non Gov,02,53
01 February 2013,Rosary Primary School,Non Gov,03,47
01 February 2013,Rosary Primary School,Non Gov,04,53
01 February 2013,Rosary Primary School,Non Gov,05,55
01 February 2013,Rosary Primary School,Non Gov,06,55
01 February 2013,Sacred Heart Primary School,Non Gov,00K,56
01 February 2013,Sacred Heart Primary School,Non Gov,01,51
01 February 2013,Sacred Heart Primary School,Non Gov,02,60
01 February 2013,Sacred Heart Primary School,Non Gov,03,60
01 February 2013,Sacred Heart Primary School,Non Gov,04,39
01 February 2013,Sacred Heart Primary School,Non Gov,05,46
01 February 2013,Sacred Heart Primary School,Non Gov,06,43
01 February 2013,St Anthony's Parish Primary School,Non Gov,00K,66
01 February 2013,St Anthony's Parish Primary School,Non Gov,01,74
01 February 2013,St Anthony's Parish Primary School,Non Gov,02,74
01 February 2013,St Anthony's Parish Primary School,Non Gov,03,54
01 February 2013,St Anthony's Parish Primary School,Non Gov,04,55
01 February 2013,St Anthony's Parish Primary School,Non Gov,05,55
01 February 2013,St Anthony's Parish Primary School,Non Gov,06,50
01 February 2013,St Bede's Primary School,Non Gov,00K,28
01 February 2013,St Bede's Primary School,Non Gov,01,30
01 February 2013,St Bede's Primary School,Non Gov,02,23
01 February 2013,St Bede's Primary School,Non Gov,03,27
01 February 2013,St Bede's Primary School,Non Gov,04,22
01 February 2013,St Bede's Primary School,Non Gov,05,27
01 February 2013,St Bede's Primary School,Non Gov,06,26
01 February 2013,St Benedict's Primary School,Non Gov,00K,27
01 February 2013,St Benedict's Primary School,Non Gov,01,28
01 February 2013,St Benedict's Primary School,Non Gov,02,20
01 February 2013,St Benedict's Primary School,Non Gov,03,29
01 February 2013,St Benedict's Primary School,Non Gov,04,26
01 February 2013,St Benedict's Primary School,Non Gov,05,22
01 February 2013,St Benedict's Primary School,Non Gov,06,26
01 February 2013,St Clare of Assisi Primary School,Non Gov,00K,97
01 February 2013,St Clare of Assisi Primary School,Non Gov,01,100
01 February 2013,St Clare of Assisi Primary School,Non Gov,02,98
01 February 2013,St Clare of Assisi Primary School,Non Gov,03,102
01 February 2013,St Clare of Assisi Primary School,Non Gov,04,96
01 February 2013,St Clare of Assisi Primary School,Non Gov,05,97
01 February 2013,St Clare of Assisi Primary School,Non Gov,06,84
01 February 2013,St Clare's College,Non Gov,07,200
01 February 2013,St Clare's College,Non Gov,08,219
01 February 2013,St Clare's College,Non Gov,09,225
01 February 2013,St Clare's College,Non Gov,10,203
01 February 2013,St Clare's College,Non Gov,11,134
01 February 2013,St Clare's College,Non Gov,12,161
01 February 2013,St Edmund's College Canberra,Non Gov,04,70
01 February 2013,St Edmund's College Canberra,Non Gov,05,81
01 February 2013,St Edmund's College Canberra,Non Gov,06,76
01 February 2013,St Edmund's College Canberra,Non Gov,07,169
01 February 2013,St Edmund's College Canberra,Non Gov,08,155
01 February 2013,St Edmund's College Canberra,Non Gov,09,160
01 February 2013,St Edmund's College Canberra,Non Gov,10,151
01 February 2013,St Edmund's College Canberra,Non Gov,11,153
01 February 2013,St Edmund's College Canberra,Non Gov,12,127
01 February 2013,St Francis of Assisi Primary School,Non Gov,00K,77
01 February 2013,St Francis of Assisi Primary School,Non Gov,01,65
01 February 2013,St Francis of Assisi Primary School,Non Gov,02,62
01 February 2013,St Francis of Assisi Primary School,Non Gov,03,73
01 February 2013,St Francis of Assisi Primary School,Non Gov,04,69
01 February 2013,St Francis of Assisi Primary School,Non Gov,05,76
01 February 2013,St Francis of Assisi Primary School,Non Gov,06,62
01 February 2013,St Francis Xavier College,Non Gov,07,205
01 February 2013,St Francis Xavier College,Non Gov,08,213
01 February 2013,St Francis Xavier College,Non Gov,09,209
01 February 2013,St Francis Xavier College,Non Gov,10,212
01 February 2013,St Francis Xavier College,Non Gov,11,179
01 February 2013,St Francis Xavier College,Non Gov,12,181
01 February 2013,St John the Apostle Primary School,Non Gov,00K,47
01 February 2013,St John the Apostle Primary School,Non Gov,01,46
01 February 2013,St John the Apostle Primary School,Non Gov,02,59
01 February 2013,St John the Apostle Primary School,Non Gov,03,57
01 February 2013,St John the Apostle Primary School,Non Gov,04,49
01 February 2013,St John the Apostle Primary School,Non Gov,05,60
01 February 2013,St John the Apostle Primary School,Non Gov,06,61
01 February 2013,St John Vianney Primary School,Non Gov,00K,43
01 February 2013,St John Vianney Primary School,Non Gov,01,29
01 February 2013,St John Vianney Primary School,Non Gov,02,44
01 February 2013,St John Vianney Primary School,Non Gov,03,35
01 February 2013,St John Vianney Primary School,Non Gov,04,30
01 February 2013,St John Vianney Primary School,Non Gov,05,26
01 February 2013,St John Vianney Primary School,Non Gov,06,20
01 February 2013,St Joseph's Primary School,Non Gov,00B,52
01 February 2013,St Joseph's Primary School,Non Gov,00K,47
01 February 2013,St Joseph's Primary School,Non Gov,01,27
01 February 2013,St Joseph's Primary School,Non Gov,02,26
01 February 2013,St Joseph's Primary School,Non Gov,03,24
01 February 2013,St Joseph's Primary School,Non Gov,04,23
01 February 2013,St Joseph's Primary School,Non Gov,05,27
01 February 2013,St Joseph's Primary School,Non Gov,06,18
01 February 2013,St Jude's Primary School,Non Gov,00K,53
01 February 2013,St Jude's Primary School,Non Gov,01,54
01 February 2013,St Jude's Primary School,Non Gov,02,46
01 February 2013,St Jude's Primary School,Non Gov,03,45
01 February 2013,St Jude's Primary School,Non Gov,04,48
01 February 2013,St Jude's Primary School,Non Gov,05,31
01 February 2013,St Jude's Primary School,Non Gov,06,36
01 February 2013,St Mary MacKillop College,Non Gov,07,330
01 February 2013,St Mary MacKillop College,Non Gov,08,321
01 February 2013,St Mary MacKillop College,Non Gov,09,327
01 February 2013,St Mary MacKillop College,Non Gov,10,334
01 February 2013,St Mary MacKillop College,Non Gov,11,231
01 February 2013,St Mary MacKillop College,Non Gov,12,229
01 February 2013,St Matthew's Primary School,Non Gov,00K,50
01 February 2013,St Matthew's Primary School,Non Gov,01,52
01 February 2013,St Matthew's Primary School,Non Gov,02,50
01 February 2013,St Matthew's Primary School,Non Gov,03,53
01 February 2013,St Matthew's Primary School,Non Gov,04,46
01 February 2013,St Matthew's Primary School,Non Gov,05,49
01 February 2013,St Matthew's Primary School,Non Gov,06,44
01 February 2013,St Michael's Primary School,Non Gov,00K,43
01 February 2013,St Michael's Primary School,Non Gov,01,45
01 February 2013,St Michael's Primary School,Non Gov,02,23
01 February 2013,St Michael's Primary School,Non Gov,03,30
01 February 2013,St Michael's Primary School,Non Gov,04,29
01 February 2013,St Michael's Primary School,Non Gov,05,38
01 February 2013,St Michael's Primary School,Non Gov,06,30
01 February 2013,St Monica's Primary School,Non Gov,00K,71
01 February 2013,St Monica's Primary School,Non Gov,01,68
01 February 2013,St Monica's Primary School,Non Gov,02,77
01 February 2013,St Monica's Primary School,Non Gov,03,61
01 February 2013,St Monica's Primary School,Non Gov,04,69
01 February 2013,St Monica's Primary School,Non Gov,05,62
01 February 2013,St Monica's Primary School,Non Gov,06,59
01 February 2013,St Thomas Aquinas Primary School,Non Gov,00B,57
01 February 2013,St Thomas Aquinas Primary School,Non Gov,00K,42
01 February 2013,St Thomas Aquinas Primary School,Non Gov,01,49
01 February 2013,St Thomas Aquinas Primary School,Non Gov,02,35
01 February 2013,St Thomas Aquinas Primary School,Non Gov,03,32
01 February 2013,St Thomas Aquinas Primary School,Non Gov,04,37
01 February 2013,St Thomas Aquinas Primary School,Non Gov,05,24
01 February 2013,St Thomas Aquinas Primary School,Non Gov,06,22
01 February 2013,St Thomas More's Primary School,Non Gov,00K,24
01 February 2013,St Thomas More's Primary School,Non Gov,01,24
01 February 2013,St Thomas More's Primary School,Non Gov,02,20
01 February 2013,St Thomas More's Primary School,Non Gov,03,24
01 February 2013,St Thomas More's Primary School,Non Gov,04,29
01 February 2013,St Thomas More's Primary School,Non Gov,05,27
01 February 2013,St Thomas More's Primary School,Non Gov,06,25
01 February 2013,St Thomas The Apostle Primary School,Non Gov,00K,42
01 February 2013,St Thomas The Apostle Primary School,Non Gov,01,54
01 February 2013,St Thomas The Apostle Primary School,Non Gov,02,33
01 February 2013,St Thomas The Apostle Primary School,Non Gov,03,49
01 February 2013,St Thomas The Apostle Primary School,Non Gov,04,38
01 February 2013,St Thomas The Apostle Primary School,Non Gov,05,34
01 February 2013,St Thomas The Apostle Primary School,Non Gov,06,37
01 February 2013,St Vincent's Primary School,Non Gov,00K,27
01 February 2013,St Vincent's Primary School,Non Gov,01,40
01 February 2013,St Vincent's Primary School,Non Gov,02,23
01 February 2013,St Vincent's Primary School,Non Gov,03,21
01 February 2013,St Vincent's Primary School,Non Gov,04,24
01 February 2013,St Vincent's Primary School,Non Gov,05,29
01 February 2013,St Vincent's Primary School,Non Gov,06,21
01 February 2013,Sts Peter & Paul Primary School,Non Gov,00K,53
01 February 2013,Sts Peter & Paul Primary School,Non Gov,01,51
01 February 2013,Sts Peter & Paul Primary School,Non Gov,02,51
01 February 2013,Sts Peter & Paul Primary School,Non Gov,03,58
01 February 2013,Sts Peter & Paul Primary School,Non Gov,04,52
01 February 2013,Sts Peter & Paul Primary School,Non Gov,05,45
01 February 2013,Sts Peter & Paul Primary School,Non Gov,06,41
01 February 2013,Trinity Christian School,Non Gov,00K,66
01 February 2013,Trinity Christian School,Non Gov,01,73
01 February 2013,Trinity Christian School,Non Gov,02,79
01 February 2013,Trinity Christian School,Non Gov,03,75
01 February 2013,Trinity Christian School,Non Gov,04,81
01 February 2013,Trinity Christian School,Non Gov,05,81
01 February 2013,Trinity Christian School,Non Gov,06,81
01 February 2013,Trinity Christian School,Non Gov,07,100
01 February 2013,Trinity Christian School,Non Gov,08,107
01 February 2013,Trinity Christian School,Non Gov,09,101
01 February 2013,Trinity Christian School,Non Gov,10,96
01 February 2013,Trinity Christian School,Non Gov,11,86
01 February 2013,Trinity Christian School,Non Gov,12,65
01 August 2013,Ainslie School,Gov,Preschool,58
01 August 2013,Ainslie School,Gov,Kindergarten,53
01 August 2013,Ainslie School,Gov,01,49
01 August 2013,Ainslie School,Gov,02,49
01 August 2013,Ainslie School,Gov,03,57
01 August 2013,Ainslie School,Gov,04,51
01 August 2013,Ainslie School,Gov,05,47
01 August 2013,Ainslie School,Gov,06,66
01 August 2013,Alfred Deakin High School,Gov,07,195
01 August 2013,Alfred Deakin High School,Gov,08,202
01 August 2013,Alfred Deakin High School,Gov,09,191
01 August 2013,Alfred Deakin High School,Gov,10,195
01 August 2013,Amaroo School,Gov,Kindergarten,129
01 August 2013,Amaroo School,Gov,01,152
01 August 2013,Amaroo School,Gov,02,106
01 August 2013,Amaroo School,Gov,03,140
01 August 2013,Amaroo School,Gov,04,148
01 August 2013,Amaroo School,Gov,05,141
01 August 2013,Amaroo School,Gov,06,147
01 August 2013,Amaroo School,Gov,07,129
01 August 2013,Amaroo School,Gov,08,147
01 August 2013,Amaroo School,Gov,09,119
01 August 2013,Amaroo School,Gov,10,142
01 August 2013,Aranda Primary School,Gov,Preschool,84
01 August 2013,Aranda Primary School,Gov,Kindergarten,68
01 August 2013,Aranda Primary School,Gov,01,83
01 August 2013,Aranda Primary School,Gov,02,69
01 August 2013,Aranda Primary School,Gov,03,66
01 August 2013,Aranda Primary School,Gov,04,67
01 August 2013,Aranda Primary School,Gov,05,51
01 August 2013,Aranda Primary School,Gov,06,51
01 August 2013,Arawang Primary School,Gov,Preschool,96
01 August 2013,Arawang Primary School,Gov,Kindergarten,60
01 August 2013,Arawang Primary School,Gov,01,39
01 August 2013,Arawang Primary School,Gov,02,56
01 August 2013,Arawang Primary School,Gov,03,52
01 August 2013,Arawang Primary School,Gov,04,48
01 August 2013,Arawang Primary School,Gov,05,44
01 August 2013,Arawang Primary School,Gov,06,38
01 August 2013,Belconnen High School,Gov,07,69
01 August 2013,Belconnen High School,Gov,08,102
01 August 2013,Belconnen High School,Gov,09,111
01 August 2013,Belconnen High School,Gov,10,105
01 August 2013,Black Mountain School,Gov,07,14
01 August 2013,Black Mountain School,Gov,08,21
01 August 2013,Black Mountain School,Gov,09,7
01 August 2013,Black Mountain School,Gov,10,12
01 August 2013,Black Mountain School,Gov,11,17
01 August 2013,Black Mountain School,Gov,12,36
01 August 2013,Bonython Primary School,Gov,Preschool,37
01 August 2013,Bonython Primary School,Gov,Kindergarten,41
01 August 2013,Bonython Primary School,Gov,01,38
01 August 2013,Bonython Primary School,Gov,02,28
01 August 2013,Bonython Primary School,Gov,03,47
01 August 2013,Bonython Primary School,Gov,04,39
01 August 2013,Bonython Primary School,Gov,05,50
01 August 2013,Bonython Primary School,Gov,06,43
01 August 2013,Calwell High School,Gov,07,94
01 August 2013,Calwell High School,Gov,08,100
01 August 2013,Calwell High School,Gov,09,93
01 August 2013,Calwell High School,Gov,10,119
01 August 2013,Calwell Primary School,Gov,Preschool,58
01 August 2013,Calwell Primary School,Gov,Kindergarten,32
01 August 2013,Calwell Primary School,Gov,01,40
01 August 2013,Calwell Primary School,Gov,02,31
01 August 2013,Calwell Primary School,Gov,03,33
01 August 2013,Calwell Primary School,Gov,04,44
01 August 2013,Calwell Primary School,Gov,05,39
01 August 2013,Calwell Primary School,Gov,06,41
01 August 2013,Campbell High School,Gov,07,187
01 August 2013,Campbell High School,Gov,08,186
01 August 2013,Campbell High School,Gov,09,184
01 August 2013,Campbell High School,Gov,10,165
01 August 2013,Campbell Primary School,Gov,Preschool,62
01 August 2013,Campbell Primary School,Gov,Kindergarten,42
01 August 2013,Campbell Primary School,Gov,01,40
01 August 2013,Campbell Primary School,Gov,02,46
01 August 2013,Campbell Primary School,Gov,03,27
01 August 2013,Campbell Primary School,Gov,04,35
01 August 2013,Campbell Primary School,Gov,05,32
