postcode,postcode1,suburb,centile,liveable_h,rank,state,school,type,latitude,longitude,households,income,suburb.y,suburb.x,state.x,state.y,adultpop
2611-waramanga,2611,waramanga,89,1,76,ACT,0.69,Delivery Area,-35.352761,149.060415,2068085.5,2211.86,waramanga,waramanga,ACT,ACT,2765.403079
2611-weston,2611,weston,87,1,94,ACT,0.77,Delivery Area,-35.341365,149.052288,2800816,2371.56,weston,weston,ACT,ACT,3492.985066
2611-weston creek,2611,weston creek,78,0,134,ACT,0.58,Delivery Area,-35.297434,149.033649,0,0,weston creek,weston creek,ACT,ACT,0
2612-braddon,2612,braddon,80,1,131,ACT,0.65,Delivery Area,-35.270615,149.133208,4905601,2152.52,braddon,braddon,ACT,ACT,6740.485153
2612-campbell,2612,campbell,89,1,77,ACT,0.75,Delivery Area,-35.290006,149.153091,3037192.5,2794.11,campbell,campbell,ACT,ACT,3214.965933
2612-reid,2612,reid,95,1,28,ACT,0.76,Delivery Area,-35.282992,149.141637,1365998,1976.84,reid,reid,ACT,ACT,2043.736393
2612-turner,2612,turner,80,1,132,ACT,0.72,Delivery Area,-35.271229,149.118368,3714566.5,2183.75,turner,turner,ACT,ACT,5030.963249
2614-aranda,2614,aranda,93,1,42,ACT,0.84,Delivery Area,-35.257964,149.075648,2091051,2722.72,aranda,aranda,ACT,ACT,2271.47547
2614-cook,2614,cook,97,1,9,ACT,0.84,Delivery Area,-35.260549,149.064613,2409192,2210.27,cook,cook,ACT,ACT,3223.838884
2614-hawker,2614,hawker,95,1,29,ACT,0.77,Delivery Area,-35.247384,149.034535,2574184,2442.3,hawker,hawker,ACT,ACT,3117.363471
2614-jamison centre,2614,jamison centre,94,1,34,ACT,0.75,Delivery Area,-35.253292,149.071291,0,0,jamison centre,jamison centre,ACT,ACT,0
2614-macquarie,2614,macquarie,90,1,63,ACT,0.72,Delivery Area,-35.251259,149.063625,1993014.5,2001.02,macquarie,macquarie,ACT,ACT,2945.819751
2614-page,2614,page,89,1,78,ACT,0.73,Delivery Area,-35.239696,149.049056,1923047,1783.9,page,page,ACT,ACT,3188.34708
2614-scullin,2614,scullin,97,1,10,ACT,0.81,Delivery Area,-35.233152,149.040779,1889278.5,1868.72,scullin,scullin,ACT,ACT,2990.184506
2614-weetangera,2614,weetangera,83,1,121,ACT,0.66,Delivery Area,-35.246194,149.050592,2341237.5,2997.74,weetangera,weetangera,ACT,ACT,2309.924925
2615-charnwood,2615,charnwood,84,1,115,ACT,0.66,Delivery Area,-35.199345,149.030062,1736246.5,1693.9,charnwood,charnwood,ACT,ACT,3031.591611
2615-dunlop,2615,dunlop,84,1,116,ACT,0.73,Delivery Area,-35.198771,149.017199,5101916,2387.42,dunlop,dunlop,ACT,ACT,6320.498803
2615-florey,2615,florey,87,1,95,ACT,0.81,Delivery Area,-35.226376,149.051672,3311278,2035.2,florey,florey,ACT,ACT,4812.097123
2615-flynn,2615,flynn,89,1,79,ACT,0.74,Delivery Area,-35.200937,149.049519,0,0,flynn,flynn,ACT,ACT,0
