postcode,suburb,centile,ds,liveable_h,rank,state,school,type,latitude,longitude,households,income,suburb.y,suburb.x,state.x,state.y,adultpop
2617-bruce,Bruce,77,59,0,86,ACT,0.65,Delivery Area,-35.242534,149.077275,500,2251.22,bruce,bruce,ACT,ACT,6571.899082
2617-evatt,Evatt,73,56,0,105,ACT,0.7,Delivery Area,-35.214897,149.065527,386,2268.36,evatt,evatt,ACT,ACT,5030.963249
2617-giralang,Giralang,82,63,1,45,ACT,0.81,Delivery Area,-35.209934,149.098783,242,2287.11,giralang,giralang,ACT,ACT,3126.236422
2617-kaleen,Kaleen,81,62,1,54,ACT,0.83,Delivery Area,-35.219211,149.103465,518,2288.19,kaleen,kaleen,ACT,ACT,6699.078048
2617-lawson,Lawson,84,65,1,37,ACT,0.73,Delivery Area,-35.225439,149.100291,10,3003.33,lawson,lawson,ACT,ACT,97.60246162
2617-mckellar,Mckellar,79,61,0,75,ACT,0.74,Delivery Area,-35.219085,149.072475,205,2477.08,mckellar,mckellar,ACT,ACT,2451.892142
2617-university of canberra,University Of Canberra,80,62,1,67,ACT,0.84,Delivery Area,-35.239771,149.085896,0,0,university of canberra,university of canberra,ACT,ACT,0
2618-hall,Hall,81,62,1,55,ACT,0.83,Delivery Area,-35.522639,149.08098,20,2416.76,hall,hall,ACT,ACT,248.4426296
2620-hume,Hume,85,65,1,29,ACT,0.87,Delivery Area,-35.381752,149.176445,0,0,hume,hume,ACT,ACT,0
2620-kowen forest,Kowen Forest,85,65,1,30,ACT,0.9,Delivery Area,-35.319673,149.248421,0,0,kowen forest,kowen forest,ACT,ACT,0
2620-oaks estate,Oaks Estate,87,67,1,16,ACT,0.76,Delivery Area,-35.341151,149.221576,0,0,oaks estate,oaks estate,ACT,ACT,0
2620-tharwa,Tharwa,90,69,1,3,ACT,0.78,Delivery Area,-35.434676,149.125536,0,0,tharwa,tharwa,ACT,ACT,0
2620-top naas,Top Naas,90,69,1,4,ACT,0.78,Delivery Area,-35.522639,149.08098,0,0,top naas,top naas,ACT,ACT,0
2900-greenway,Greenway,82,63,1,46,ACT,0.75,Delivery Area,-35.417991,149.069414,173,2063.51,greenway,greenway,ACT,ACT,2481.468645
2900-tuggeranong,Tuggeranong,79,61,0,76,ACT,0.83,Delivery Area,-35.415165,149.0658,3,2732.83,tuggeranong,tuggeranong,ACT,ACT,26.61885317
2902-kambah,Kambah,76,58,0,90,ACT,0.87,Delivery Area,-35.378876,149.045895,1082,2191.39,kambah,kambah,ACT,ACT,14601.91979
2903-erindale centre,Erindale Centre,80,62,1,68,ACT,0.76,Delivery Area,-35.403016,149.097207,0,0,erindale centre,erindale centre,ACT,ACT,0
2903-oxley,Oxley,76,58,0,91,ACT,0.67,Delivery Area,-35.414349,149.079888,0,0,oxley,oxley,ACT,ACT,0
2903-wanniassa,Wanniassa,76,58,0,92,ACT,0.82,Delivery Area,-35.401661,149.099239,560,2220.96,wanniassa,wanniassa,ACT,ACT,7453.278887
2904-fadden,Fadden,67,52,0,129,ACT,0.91,Delivery Area,-35.400996,149.115023,276,2990.15,fadden,fadden,ACT,ACT,2726.953625
2904-gowrie,Gowrie,69,53,0,124,ACT,0.89,Delivery Area,-35.413419,149.108473,0,0,gowrie,gowrie,ACT,ACT,0
2904-macarthur,Macarthur,63,48,0,134,ACT,0.84,Delivery Area,-35.408559,149.131961,120,2869.42,macarthur,macarthur,ACT,ACT,1236.297847
2904-monash,Monash,81,62,1,56,ACT,0.84,Delivery Area,-35.416103,149.089758,395,2178.6,monash,monash,ACT,ACT,5359.262438
2905-bonython,Bonython,87,67,1,17,ACT,0.79,Delivery Area,-35.429018,149.081746,288,2195.02,bonython,bonython,ACT,ACT,3886.352563
2905-calwell,Calwell,69,53,0,125,ACT,0.71,Delivery Area,-35.43528,149.11229,436,2430.09,calwell,calwell,ACT,ACT,5300.109431
2905-chisholm,Chisholm,70,54,0,120,ACT,0.73,Delivery Area,-35.424193,149.122569,361,2241.08,chisholm,chisholm,ACT,ACT,4761.817067
2905-gilmore,Gilmore,89,68,1,8,ACT,0.89,Delivery Area,-35.416056,149.134017,192,2272.67,gilmore,gilmore,ACT,ACT,2496.256897
2905-isabella plains,Isabella Plains,77,59,0,87,ACT,0.79,Delivery Area,-35.431945,149.092689,298,2086.48,isabella plains,isabella plains,ACT,ACT,4223.524703
2905-richardson,Richardson,77,59,0,88,ACT,0.76,Delivery Area,-35.427581,149.109787,191,2007.14,richardson,richardson,ACT,ACT,2806.810184
2905-theodore,Theodore,74,57,0,99,ACT,0.75,Delivery Area,-35.448697,149.124445,276,2336.53,theodore,theodore,ACT,ACT,3498.900367
2906-banks,Banks,79,61,0,77,ACT,0.74,Delivery Area,-35.522639,149.08098,351,2276.29,banks,banks,ACT,ACT,4557.739193
2906-conder,Conder,69,53,0,126,ACT,0.72,Delivery Area,-35.456295,149.094031,362,2393.04,conder,conder,ACT,ACT,4477.882633
2906-gordon,Gordon,67,52,0,130,ACT,0.77,Delivery Area,-35.450547,149.083449,0,0,gordon,gordon,ACT,ACT,0
2911-crace,Crace,82,63,1,47,ACT,0.79,Delivery Area,-35.218473,149.124813,380,2721.37,crace,crace,ACT,ACT,4125.922241
2911-mitchell,Mitchell,62,48,0,136,ACT,0.87,Delivery Area,-35.217487,149.141164,0,0,mitchell,mitchell,ACT,ACT,0
2912-gungahlin,Gungahlin,88,68,1,11,ACT,0.82,Delivery Area,-35.522639,149.08098,432,2281.27,gungahlin,gungahlin,ACT,ACT,5598.832117
2913-franklin,Franklin,79,61,0,78,ACT,0.75,Delivery Area,-35.201802,149.132349,486,2368.89,franklin,franklin,ACT,ACT,6072.056173
2913-ginninderra village,Ginninderra Village,71,55,0,117,ACT,0.91,Delivery Area,-35.191111,149.084139,0,0,ginninderra village,ginninderra village,ACT,ACT,0
2913-ngunnawal,Ngunnawal,88,68,1,12,ACT,0.78,Delivery Area,-35.177716,149.106022,736,2109.83,ngunnawal,ngunnawal,ACT,ACT,10316.28443
2913-nicholls,Nicholls,81,62,1,57,ACT,0.78,Delivery Area,-35.190785,149.099951,579,2934.31,nicholls,nicholls,ACT,ACT,5838.401795
2913-palmerston,Palmerston,83,64,1,42,ACT,0.81,Delivery Area,-35.194578,149.114697,404,2241.69,palmerston,palmerston,ACT,ACT,5326.728284
2914-amaroo,Amaroo,74,57,0,100,ACT,0.79,Delivery Area,-35.170334,149.125877,435,2629.75,amaroo,amaroo,ACT,ACT,4891.953682
2914-bonner,Bonner,68,52,0,127,ACT,0.78,Delivery Area,-35.164311,149.13395,466,2541.11,bonner,bonner,ACT,ACT,5418.415445
2914-forde,Forde,72,55,0,111,ACT,0.83,Delivery Area,-35.164368,149.147539,371,3051.36,forde,forde,ACT,ACT,3596.502828
2914-harrison,Harrison,76,58,0,93,ACT,0.77,Delivery Area,-35.180788,149.144499,592,2515.06,harrison,harrison,ACT,ACT,6962.308929
